Date,DEQ,DEQ_Inv,Bench,SPX,SPXT,BE500,BE500T
23.02.1998,0,0,0,0.003793,0.003815,-0.00285,-0.00285
24.02.1998,0,0,0,-0.00733,-0.00733,-0.00232,-0.00232
25.02.1998,0,0,0,0.011903,0.012038,0.019288,0.019288
26.02.1998,0,0,0,0.005517,0.005641,0.006225,0.006225
27.02.1998,0,0,0,0.000639,0.000676,0.00315,0.00315
02.03.1998,0,0,0,-0.00156,-0.00154,0.012296,0.012296
03.03.1998,0,0,0,0.004115,0.004122,-0.00358,-0.00358
04.03.1998,0,0,0,-0.00447,-0.00424,-0.00919,-0.00919
05.03.1998,0,0,0,-0.01179,-0.01165,-0.00642,-0.00642
06.03.1998,0,0,0,0.019745,0.019835,0.020119,0.020119
09.03.1998,0,0,0,-0.00321,-0.00319,0.005057,0.005057
10.03.1998,0,0,0,0.011283,0.011293,0.004315,0.004315
11.03.1998,0,0,0,0.003957,0.004143,0.0045,0.0045
12.03.1998,0,0,0,0.001356,0.001514,-0.00112,-0.00112
13.03.1998,0,0,0,-0.00123,-0.00122,0.007024,0.007024
16.03.1998,0,0,0,0.009926,0.00994,0.003292,0.003292
17.03.1998,0,0,0,0.001093,0.001093,0.00936,0.00936
18.03.1998,0,0,0,0.004682,0.004729,-0.0013,-0.0013
19.03.1998,0,0,0,0.00388,0.003895,0.00839,0.00839
20.03.1998,0,0,0,0.008607,0.008614,0.007235,0.007235
23.03.1998,0,0,0,-0.00329,-0.00327,0.002761,0.002761
24.03.1998,0,0,0,0.009177,0.009182,0.009019,0.009019
25.03.1998,0,0,0,-0.00337,-0.00335,0.008551,0.008551
26.03.1998,0,0,0,-0.00103,-0.00102,-0.01002,-0.01002
27.03.1998,0,0,0,-0.00488,-0.00469,0.007449,0.007449
30.03.1998,0,0,0,-0.00173,-0.00172,-0.00204,-0.00204
31.03.1998,0,0,0,0.007471,0.007478,0.00267,0.00267
01.04.1998,0,0,0,0.005792,0.00586,0.011087,0.011087
02.04.1998,0,0,0,0.010646,0.010685,0.007498,0.007498
03.04.1998,0,0,0,0.002399,0.002414,0.005835,0.005835
06.04.1998,0,0,0,-0.00118,-0.00117,0.012831,0.012831
07.04.1998,0,0,0,-0.01061,-0.01032,-0.00976,-0.00976
08.04.1998,0,0,0,-0.00714,-0.00711,-0.01153,-0.01153
09.04.1998,0,0,0,0.008154,0.008169,0.007083,0.007083
10.04.1998,0,0,0,0,0,0,0
13.04.1998,0,0,0,-0.00088,-0.00083,0.021973,0.021973
14.04.1998,0,0,0,0.005446,0.005447,-0.01734,-0.01734
15.04.1998,0,0,0,0.003195,0.003201,9.43E-05,9.43E-05
16.04.1998,0,0,0,-0.01001,-0.00999,-0.01038,-0.01038
17.04.1998,0,0,0,0.013044,0.013053,-0.00406,-0.00401
20.04.1998,0,0,0,0.000828,0.000828,0.007149,0.007615
21.04.1998,0,0,0,0.002684,0.002686,-0.002,-0.00189
22.04.1998,0,0,0,0.003429,0.003493,-0.00582,-0.00578
23.04.1998,0,0,0,-0.00974,-0.00973,-0.00957,-0.00944
24.04.1998,0,0,0,-0.01049,-0.01049,-0.01211,-0.01172
27.04.1998,0,0,0,-0.01947,-0.01947,-0.03014,-0.0297
28.04.1998,0,0,0,-0.00132,-0.00125,0.018925,0.019036
29.04.1998,0,0,0,0.008735,0.008882,-0.00292,-0.00283
30.04.1998,0,0,0,0.015519,0.015588,0.021447,0.021515
01.05.1998,0,0,0,0.008286,0.008292,0.025456,0.025473
04.05.1998,0,0,0,0.000954,0.000954,-0.00436,-0.00417
05.05.1998,0,0,0,-0.00587,-0.00585,-0.01128,-0.01115
06.05.1998,0,0,0,-0.00953,-0.00929,0.000481,0.000613
07.05.1998,0,0,0,-0.00889,-0.00886,-0.01223,-0.01191
08.05.1998,0,0,0,0.011801,0.011806,0.006305,0.006456
11.05.1998,0,0,0,-0.00135,-0.00087,0.015304,0.016512
12.05.1998,0,0,0,0.008234,0.008278,-0.00904,-0.00904
13.05.1998,0,0,0,0.002748,0.002938,0.002208,0.002466
14.05.1998,0,0,0,-0.00133,-0.00131,-0.00336,-0.00335
15.05.1998,0,0,0,-0.00776,-0.00772,-0.00024,-2.60E-05
18.05.1998,0,0,0,-0.00263,-0.00252,-0.01527,-0.01527
19.05.1998,0,0,0,0.00334,0.003347,0.012042,0.012146
20.05.1998,0,0,0,0.008562,0.008694,0.007884,0.008124
21.05.1998,0,0,0,-0.00396,-0.00396,0.018926,0.018927
