Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
14.05.2015,36964913.58,33606536.36,0.909146894,33606536.36,0.909146894,0.00643294,0.007072417,0.007072417
15.05.2015,36743741.07,33381586.73,0.908497223,33381586.73,0.908497223,-0.005690405,-0.00625803,-0.00625803
18.05.2015,37042316.78,33595441.18,0.906947624,33595441.18,0.906947624,0.00585527,0.006444408,0.006444408
19.05.2015,37594812.32,34138256.32,0.908057634,34138256.32,0.908057634,0.016790002,0.018506628,0.018506628
20.05.2015,37664918.33,34201538.59,0.908047597,34201538.59,0.908047597,0.001825813,0.002010069,0.002010069
21.05.2015,37836109.73,35588602,0.940598868,35588602,0.940598868,0.004498337,0.004954223,0.004954223
22.05.2015,37933712.67,35680820.61,0.940609767,35680820.61,0.940609767,0.001742311,0.001850002,0.001850002
25.05.2015,36994620.81,35784453.64,0.967288023,35784453.64,0.967288023,0.002979065,0.003165721,0.003165721
26.05.2015,35790852.21,34836316.93,0.973330189,34836316.93,0.973330189,-0.005318853,-0.005500685,-0.005500685
27.05.2015,37136642.11,35035789.34,0.943429113,35035789.34,0.943429113,0.01030222,0.010584017,0.010584017
28.05.2015,36953050.47,35148166.68,0.95115738,35148166.68,0.95115738,-0.004918958,-0.005212894,-0.005212894
29.05.2015,36480997.84,35613043.48,0.976208042,35613043.48,0.976208042,-0.01365979,-0.014360362,-0.014360362
01.06.2015,34201983.25,32500955.1,0.950265219,32500955.1,0.950265219,0.002682057,0.002746174,0.002746174
02.06.2015,35660904.87,32031477.34,0.898223908,32031477.34,0.898223908,-0.013824181,-0.014547708,-0.014547708
03.06.2015,35459269.65,31829847.54,0.897645323,31829847.54,0.897645323,-0.005668608,-0.006310908,-0.006310908
04.06.2015,35086490.32,31496994,0.897695772,31496994,0.897695772,-0.009594197,-0.010688183,-0.010688183
05.06.2015,35196441.67,31558554.87,0.896640495,31558554.87,0.896640495,0.000624414,0.000695574,0.000695574
08.06.2015,34737035.56,31130105.52,0.896164714,31130105.52,0.896164714,-0.011542804,-0.012873392,-0.012873392
09.06.2015,34641170.51,31034257.43,0.895877852,31034257.43,0.895877852,-0.002820692,-0.003147516,-0.003147516
10.06.2015,35095177.22,31488269.54,0.897224976,31488269.54,0.897224976,0.013469587,0.015035071,0.015035071
11.06.2015,35311447.09,31704545.05,0.897854596,31704545.05,0.897854596,0.006223175,0.006936025,0.006936025
12.06.2015,34980757.16,31373860.51,0.89688912,31373860.51,0.89688912,-0.009577096,-0.010666645,-0.010666645
15.06.2015,34695975.07,31063435.08,0.895303706,31063435.08,0.895303706,-0.008955075,-0.009984595,-0.009984595
16.06.2015,31274207.07,31239772.62,0.998898951,31239772.62,0.998898951,0.002159643,0.00241219,0.00241219
17.06.2015,34517885.28,31195980.93,0.903762808,31195980.93,0.903762808,5.52E-06,5.53E-06,5.53E-06
18.06.2015,34423372.04,31143301.04,0.904713838,31143301.04,0.904713838,-0.004229296,-0.003338832,-0.003338832
19.06.2015,34493118.1,32697638.69,0.947946735,32701211.18,0.948050306,0.002118888,0.001774749,0.001774749
22.06.2015,34815556.89,33206899.93,0.953794881,33215851.49,0.954051994,0.00917532,0.009947588,0.010110993
23.06.2015,35306530.67,33669969.3,0.953647064,33678920.86,0.953900602,0.014061883,0.013902255,0.013898509
24.06.2015,35126393.75,33489835.37,0.953409439,33498786.93,0.953664278,-0.005041963,-0.005287098,-0.005285692
25.06.2015,34931256.56,33295639.46,0.953176116,33310021.94,0.953587853,-0.005603449,-0.005849363,-0.005685677
26.06.2015,34981775.93,33333664.04,0.952886558,33349858.39,0.953349494,0.001577982,0.001438275,0.001492048
29.06.2015,34188165.54,32693684.09,0.956286586,32715139.2,0.956914145,-0.02274336,-0.023815083,-0.023645774
30.06.2015,33899638.39,32612946.56,0.962044084,32634939.5,0.96269285,-0.008224636,-0.008635486,-0.008613383
01.07.2015,34322071.48,32894593.87,0.95840934,32918278.98,0.959099424,0.008864472,0.009103947,0.009150136
02.07.2015,34297730.99,32869948.43,0.958370933,32895324.38,0.959110805,-0.00076274,-0.000805348,-0.000753403
03.07.2015,34213948.88,32785592.9,0.958252232,32812655.69,0.95904322,-0.002418279,-0.00254091,-0.002487671
06.07.2015,33916265.51,32484880.89,0.957796514,32516987.84,0.958743168,-0.008724654,-0.009197303,-0.009035991
07.07.2015,33919742.8,32471984.02,0.957318108,32505760.08,0.958313873,0.000140629,-0.000357733,-0.000306049
