Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll,,,,,,,,,,,,
21.12.2015,30242259.04,27014468.44,0.871521372,27388340.47,0.883582962,-0.011550289,-0.002931696,-0.002732513,,45.48222328,145.4822233,0.006657494,-0.002736254,,,,,,,
22.12.2015,30401437.02,27185619.36,0.872320814,27560857.58,0.884361301,-0.004021549,0.006700247,0.006657494,,49.25223167,149.2522317,0.025913877,0.006635431,,,,,,,
23.12.2015,31119495.15,27886436.45,0.874121864,28263859.24,0.885952472,0.005485296,0.026199165,0.025913877,,48.42001378,148.4200138,-0.005575916,0.025583802,,,,,,,
24.12.2015,30947361.74,27713937.33,0.873887674,28090903.75,0.88577434,0.02409456,-0.005636713,-0.005575916,,48.36490099,148.364901,-0.00037133,-0.005591519,,,,,,,
25.12.2015,30935410.04,27703917.98,0.873897636,28080878.29,0.885788543,0,-0.000376296,-0.00037133,,47.56344311,147.5634431,-0.005401937,-0.000371399,,,,,,,
28.12.2015,30779668.52,27534624.71,0.873210755,27921817.45,0.885489872,0,-0.005857307,-0.005401937,,50.02077599,150.020776,0.016652721,-0.00541658,,,,,,,
29.12.2015,31239073.11,27980348.28,0.874113298,28369585.18,0.886273159,-0.011985795,0.016817121,0.016652721,,49.01818676,149.0181868,-0.006683003,0.016515585,,,,,,,
30.12.2015,31053554.41,27801638.55,0.873713413,28192423.34,0.885994485,0.015351206,-0.006835466,-0.006683003,,48.10260124,148.1026012,-0.006144119,-0.006705434,,,,,,,
31.12.2015,30890933.7,27645889.74,0.873183332,28039659.91,0.885620391,-0.006195147,-0.006343323,-0.006144119,,47.78347079,147.7834708,-0.002154793,-0.006163072,,,,,,,
01.01.2016,30819096.55,27587557.99,0.873320691,27980949.47,0.88577402,-0.004601113,-0.002172271,-0.002154793,,45.68331984,145.6833198,-0.014211,-0.002157118,,,,,,,
04.01.2016,30452159.86,27201932.98,0.871382555,27603121.46,0.884234165,0,-0.014710122,-0.014211,,46.36861733,146.3686173,0.004704022,-0.014312944,,,,,,,
05.01.2016,30597765.99,27300623.61,0.871099351,27705294.01,0.884011441,-0.014165362,0.00464371,0.004704022,,43.54691968,143.5469197,-0.019278024,0.004692992,,,,,,,
