Date,NAV,Futures,Securities,FxPnL,PayableFees,AccruedFees,AUD Curncy,BRL Curncy,CHF Curncy,CNH Curncy,CNY Curncy,EUR Curncy,GBP Curncy,MXN Curncy,NOK Curncy,USD Curncy,ZAR Curncy,PaidFees,.TAX_EUR LX Equity,TotalFees,Cash
2016-05-06,41095033.34,-3113705.51,38171888.36,677311.29,10157.69,-21065.44,0,0,0,2200.38,0,937394.5,-206534.06,0,0,1804805.16,0,0,0,-10907.75,2245833.69
2016-05-09,41095767.39,-3578159.26,38515897.9,630340.71,10133.38,-25318.69,0,0,0,2200.38,0,936794.5,-206534.06,0,0,1468705.41,0,0,0,-15185.31,1949528.78
2016-05-10,41114075.2,-3578469.76,38545614.51,620268.39,10125.28,-26735.08,0,0,0,2200.38,0,936644.5,-206551.67,0,0,1470114.56,0,0,0,-16609.8,1948192.3
2016-05-11,41140621.28,-3574880.41,38279443.12,693314.48,10117.19,-28153.77,0,0,0,2200.38,0,989302.12,-206569.29,0,0,1666532.64,0,0,0,-18036.58,2167863.68000001
2016-05-12,41190730.3,-3574220.36,38384299.73,632872.11,10109.09,-29575.82,0,0,0,2200.38,0,990202.12,-206586.9,0,0,1670907.64,0,0,0,-19466.73,2173558.46
2016-05-13,41557421.37,-3594137.1,38388962.54,435619.1,10100.99,-31032.23,0,0,0,2200.38,0,1496458.92,-206604.51,0,0,1716678.8,0,0,0,-20931.24,2732839.73
2016-05-17,41583110.04,-3581821.79,38312667.67,497735.7,10068.56,-36736.37,0,0,0,2200.38,0,1135549.69,93325.04,0,0,1750766.3,0,0,0,-26667.81,2772706.66999999
2016-05-18,41595965.92,-3575589.26,39254715.51,371201.75,14832.52,-38174.81,0,0,0,2200.38,0,612704.08,93307.43,0,0,1420601.72,0,0,0,-23342.29,1970048.66
2016-05-19,43465569.9,-3589525.15,39364460.92,222542.72,14824.42,-39828.24,0,0,0,2200.38,0,2522203.71,93307.43,0,0,1411387.14,0,0,0,-25003.82,3878566.26
2016-05-20,43469655.49,-3588309.39,39532689.37,244140.25,14816.3,-41355.61,0,0,0,2200.38,0,2522653.71,93307.43,0,0,1206099.64,0,0,0,-26539.31,3692825.87
2016-05-23,43470661.75,-3590697.41,39288178.28,202775.77,14791.93,-45759.83,0,0,0,2200.38,0,2813233.22,93307.43,0,0,1205788.97,0,0,0,-30967.9,3979707.69999999
2016-05-24,43531889.26,-3606637.18,39529852.94,121561.41,14783.81,-47292.13,0,0,0,2200.38,0,2708018.78,93307.43,0,0,1208153.17,0,0,0,-32508.32,3880474.91000001
2016-05-25,42899381.07,-3609141.15,40298893.25,75785.9,52446.68,-48736.51,0,0,0,2200.38,0,1632557.37,93307.43,0,0,852459.38,0,0,0,3710.16999999999,2524701.92
2016-05-26,42913734.86,-3610005,40068117.77,167522.02,52438.58,-50227.74,0,0,0,2200.38,0,1880524.04,93307.43,0,0,752262.16,0,0,0,2210.84,2678095.07
2016-05-27,42934049.06,-3616216,40015552.97,53668.83,52430.48,-51717.49,0,0,0,2200.38,0,1790875.29,93307.43,0,0,1057954.66,0,0,0,712.989999999998,2864827.26
